cap-color,odor,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,population,habitat,label
brown,other,smooth,smooth,white,white,pendant,several,grass,poisonous
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
gray,foul,other,other,white,white,pendant,other,grass,edible
brown,none,other,other,white,white,evanescent,other,grass,edible
other,foul,silky,silky,other,other,other,other,grass,poisonous
gray,none,smooth,smooth,white,pink,pendant,several,wood,edible
brown,none,smooth,smooth,other,pink,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
brown,foul,smooth,smooth,pink,pink,evanescent,several,other,poisonous
other,foul,silky,silky,other,pink,other,other,wood,poisonous
gray,foul,silky,silky,other,pink,other,other,wood,edible
other,foul,silky,silky,pink,other,other,other,wood,poisonous
brown,none,smooth,smooth,white,white,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,other,poisonous
gray,foul,silky,silky,other,other,other,other,wood,poisonous
gray,foul,silky,silky,other,other,other,several,grass,poisonous
brown,none,smooth,smooth,other,other,pendant,other,other,edible
gray,none,smooth,smooth,other,pink,pendant,other,wood,poisonous
other,other,silky,silky,white,pink,evanescent,several,wood,poisonous
brown,other,smooth,other,white,white,pendant,other,other,edible
other,foul,silky,silky,other,other,other,several,other,edible
gray,none,other,other,white,white,evanescent,other,grass,edible
brown,foul,smooth,smooth,white,pink,evanescent,several,wood,poisonous
other,none,smooth,smooth,other,white,pendant,other,wood,poisonous
other,none,smooth,smooth,white,other,evanescent,other,other,edible
gray,none,silky,silky,white,white,pendant,other,grass,poisonous
brown,none,smooth,smooth,pink,other,pendant,several,wood,edible
brown,none,smooth,smooth,other,other,pendant,other,other,edible
brown,foul,silky,silky,pink,pink,evanescent,several,wood,poisonous
brown,other,silky,silky,white,pink,evanescent,several,wood,poisonous
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,wood,poisonous
brown,foul,smooth,smooth,pink,pink,evanescent,several,other,poisonous
other,none,smooth,smooth,pink,white,pendant,other,wood,poisonous
other,none,smooth,smooth,white,white,pendant,other,wood,edible
other,foul,smooth,other,white,white,pendant,other,other,poisonous
other,none,other,other,white,white,evanescent,other,grass,edible
brown,none,smooth,smooth,other,other,pendant,other,other,edible
gray,none,smooth,smooth,white,other,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,foul,other,other,white,white,pendant,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,none,smooth,smooth,other,white,pendant,several,wood,poisonous
other,other,smooth,smooth,white,white,pendant,other,other,poisonous
other,none,smooth,smooth,pink,white,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
brown,other,smooth,smooth,white,white,pendant,other,grass,poisonous
brown,none,smooth,smooth,white,pink,pendant,other,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,edible
other,other,smooth,other,white,white,pendant,other,other,edible
brown,other,smooth,other,white,white,pendant,other,grass,edible
brown,none,smooth,smooth,white,other,pendant,several,wood,edible
brown,other,smooth,other,white,white,pendant,other,other,edible
other,other,smooth,smooth,white,white,pendant,other,other,edible
gray,none,smooth,smooth,white,pink,pendant,other,wood,poisonous
other,none,smooth,smooth,white,white,pendant,several,grass,poisonous
gray,foul,smooth,smooth,white,white,pendant,several,other,edible
other,other,smooth,smooth,white,white,pendant,other,wood,poisonous
gray,foul,silky,silky,pink,other,other,several,other,poisonous
other,none,smooth,smooth,white,white,pendant,several,wood,poisonous
other,foul,other,other,white,white,pendant,several,other,poisonous
other,other,smooth,smooth,white,white,pendant,several,grass,poisonous
brown,other,smooth,smooth,white,white,evanescent,several,other,poisonous
gray,foul,silky,silky,other,other,other,other,other,poisonous
gray,none,smooth,smooth,white,other,pendant,other,wood,edible
brown,other,silky,smooth,white,white,evanescent,several,wood,poisonous
other,foul,smooth,other,white,white,pendant,several,grass,poisonous
other,foul,other,other,white,white,pendant,several,grass,poisonous
other,none,smooth,smooth,white,pink,pendant,several,wood,edible
brown,other,smooth,silky,white,pink,evanescent,several,other,poisonous
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,foul,silky,silky,other,pink,other,other,other,poisonous
brown,none,smooth,smooth,other,other,pendant,other,other,edible
other,other,smooth,smooth,white,white,pendant,other,wood,poisonous
other,foul,silky,silky,other,pink,other,other,wood,poisonous
brown,none,other,other,other,other,pendant,other,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,edible
other,other,smooth,other,white,white,pendant,other,grass,edible
other,other,smooth,other,white,white,pendant,other,other,edible
other,none,smooth,smooth,pink,pink,pendant,several,wood,edible
other,other,smooth,smooth,white,white,evanescent,several,other,poisonous
other,foul,silky,silky,pink,other,other,other,grass,poisonous
other,other,smooth,smooth,white,white,pendant,other,other,edible
other,other,smooth,smooth,pink,white,evanescent,several,other,poisonous
other,other,smooth,smooth,white,white,pendant,other,grass,edible
brown,none,smooth,smooth,other,other,pendant,other,other,edible
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
brown,foul,smooth,smooth,white,pink,evanescent,several,other,poisonous
brown,none,smooth,smooth,pink,pink,pendant,other,wood,edible
brown,other,silky,silky,white,pink,evanescent,several,other,poisonous
brown,foul,smooth,smooth,pink,white,evanescent,several,other,edible
gray,other,smooth,smooth,white,white,pendant,several,wood,poisonous
other,foul,silky,smooth,white,white,evanescent,several,other,poisonous
brown,other,silky,smooth,white,white,evanescent,several,wood,poisonous
brown,other,smooth,other,white,white,pendant,other,other,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
gray,foul,silky,silky,pink,other,other,other,grass,poisonous
brown,other,smooth,smooth,white,white,evanescent,several,other,poisonous
other,other,smooth,silky,white,white,evanescent,several,other,poisonous
other,foul,silky,silky,white,pink,evanescent,several,other,poisonous
other,foul,silky,silky,pink,pink,other,other,wood,poisonous
brown,none,smooth,other,white,white,evanescent,other,grass,edible
gray,foul,silky,silky,other,pink,other,several,grass,poisonous
brown,none,other,smooth,white,white,evanescent,other,grass,edible
gray,foul,silky,silky,pink,other,other,other,grass,poisonous
brown,other,smooth,smooth,pink,pink,evanescent,several,wood,poisonous
gray,none,smooth,other,white,white,evanescent,other,grass,edible
gray,foul,silky,silky,other,other,other,other,grass,poisonous
brown,none,smooth,smooth,white,other,evanescent,other,other,edible
brown,other,smooth,smooth,white,white,evanescent,several,wood,poisonous
other,other,silky,silky,white,white,evanescent,several,other,poisonous
other,foul,silky,silky,other,other,other,several,wood,poisonous
other,none,smooth,other,white,white,evanescent,other,grass,edible
other,foul,silky,silky,other,other,other,several,other,poisonous
brown,none,smooth,smooth,pink,other,pendant,several,wood,edible
brown,none,smooth,other,white,white,evanescent,other,grass,edible
brown,none,smooth,smooth,other,white,pendant,other,wood,edible
other,other,silky,smooth,white,white,evanescent,several,wood,poisonous
other,foul,smooth,smooth,pink,white,evanescent,several,other,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,other,white,white,pendant,other,grass,edible
other,other,smooth,other,white,white,pendant,other,other,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
gray,none,smooth,smooth,white,other,pendant,other,wood,edible
other,foul,smooth,silky,pink,pink,evanescent,several,other,poisonous
other,foul,other,other,white,white,pendant,other,other,poisonous
gray,none,smooth,smooth,white,pink,pendant,several,wood,edible
other,foul,smooth,smooth,white,pink,evanescent,several,other,edible
other,foul,silky,silky,other,pink,other,several,grass,poisonous
gray,none,smooth,smooth,white,white,evanescent,other,grass,edible
gray,other,smooth,smooth,white,white,pendant,several,wood,poisonous
brown,foul,smooth,silky,white,pink,evanescent,several,other,poisonous
other,foul,silky,silky,pink,white,evanescent,several,other,poisonous
other,none,smooth,other,white,white,other,several,wood,edible
other,other,smooth,smooth,white,white,pendant,other,other,edible
brown,none,smooth,smooth,white,other,pendant,several,wood,edible
brown,none,other,smooth,white,white,evanescent,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,other,edible
other,other,silky,smooth,white,white,evanescent,several,other,poisonous
gray,foul,silky,silky,pink,other,other,other,wood,poisonous
other,foul,other,other,white,white,pendant,other,grass,poisonous
gray,none,smooth,smooth,pink,white,pendant,other,wood,edible
gray,other,smooth,smooth,white,white,pendant,several,wood,poisonous
gray,foul,silky,silky,other,other,other,other,grass,poisonous
other,other,smooth,other,white,white,pendant,other,grass,edible
other,other,silky,other,other,other,other,other,wood,poisonous
other,foul,silky,smooth,pink,pink,evanescent,several,other,poisonous
gray,foul,silky,silky,other,other,other,several,grass,poisonous
brown,foul,silky,silky,white,pink,evanescent,several,other,poisonous
other,none,smooth,smooth,white,white,evanescent,other,other,edible
other,other,silky,silky,white,white,evanescent,several,other,poisonous
gray,none,smooth,smooth,white,white,pendant,several,other,edible
gray,foul,other,smooth,white,white,pendant,several,grass,poisonous
other,none,smooth,smooth,other,other,pendant,several,wood,edible
gray,foul,silky,silky,pink,other,other,several,grass,poisonous
other,foul,silky,smooth,white,pink,evanescent,several,wood,poisonous
other,foul,silky,silky,other,other,other,other,wood,poisonous
other,foul,silky,silky,white,white,evanescent,several,other,poisonous
brown,other,smooth,smooth,white,white,pendant,other,other,poisonous
other,none,smooth,smooth,white,white,pendant,several,other,poisonous
gray,foul,other,other,white,white,pendant,several,grass,poisonous
other,other,smooth,smooth,white,white,pendant,other,grass,edible
other,other,smooth,silky,pink,pink,evanescent,several,other,poisonous
gray,foul,silky,silky,pink,other,other,other,grass,poisonous
other,none,smooth,smooth,other,other,pendant,other,wood,edible
other,foul,smooth,smooth,white,white,evanescent,several,other,poisonous
gray,foul,silky,silky,pink,pink,other,several,other,poisonous
brown,foul,smooth,silky,pink,white,evanescent,several,other,poisonous
gray,none,silky,silky,white,white,pendant,other,grass,edible
other,foul,silky,silky,other,pink,other,several,grass,poisonous
other,other,silky,smooth,pink,white,evanescent,several,other,poisonous
other,none,smooth,smooth,white,white,evanescent,other,other,edible
brown,other,silky,other,other,other,other,other,wood,poisonous
brown,none,smooth,smooth,other,white,pendant,several,wood,edible
gray,none,smooth,smooth,pink,white,pendant,several,wood,edible
other,other,silky,silky,pink,pink,evanescent,several,other,poisonous
gray,none,smooth,smooth,white,white,pendant,several,wood,edible
gray,none,smooth,smooth,other,pink,pendant,several,wood,edible
other,foul,silky,silky,other,other,other,several,grass,poisonous
brown,none,other,smooth,white,white,evanescent,other,grass,edible
brown,foul,silky,smooth,white,pink,evanescent,several,wood,poisonous
other,foul,silky,smooth,pink,white,evanescent,several,other,poisonous
gray,foul,silky,silky,other,other,other,other,grass,poisonous
other,other,smooth,smooth,white,white,pendant,other,wood,poisonous
other,other,smooth,smooth,pink,pink,evanescent,several,wood,poisonous
other,other,smooth,smooth,pink,white,evanescent,several,other,poisonous
other,other,silky,silky,white,white,evanescent,several,other,poisonous
gray,other,smooth,smooth,white,white,pendant,other,wood,poisonous
brown,none,smooth,smooth,other,other,pendant,other,other,edible
other,foul,smooth,smooth,pink,white,evanescent,several,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,edible
gray,none,other,other,white,white,evanescent,other,grass,edible
other,foul,silky,silky,other,other,other,other,other,poisonous
brown,other,smooth,smooth,white,white,pendant,several,grass,poisonous
brown,none,smooth,smooth,white,white,evanescent,other,grass,edible
other,none,smooth,smooth,white,pink,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
brown,other,smooth,smooth,white,white,pendant,other,grass,poisonous
gray,none,smooth,smooth,pink,other,pendant,other,wood,edible
other,none,smooth,smooth,other,white,pendant,several,wood,edible
other,none,silky,other,white,other,evanescent,several,wood,poisonous
brown,other,silky,silky,pink,pink,evanescent,several,other,poisonous
other,none,other,other,white,white,evanescent,other,grass,edible
other,other,smooth,smooth,white,white,pendant,other,other,edible
brown,other,smooth,silky,pink,pink,evanescent,several,wood,poisonous
other,none,smooth,smooth,white,white,pendant,several,grass,poisonous
gray,foul,smooth,other,white,white,pendant,other,grass,poisonous
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
gray,none,smooth,smooth,white,white,pendant,other,wood,edible
other,foul,silky,silky,other,other,other,several,wood,poisonous
brown,foul,smooth,smooth,white,white,evanescent,several,other,poisonous
gray,foul,silky,silky,pink,other,other,other,grass,poisonous
gray,other,smooth,smooth,white,white,pendant,several,wood,poisonous
other,other,smooth,smooth,white,white,pendant,other,other,edible
gray,none,smooth,smooth,white,white,pendant,several,wood,edible
brown,none,smooth,smooth,other,white,evanescent,other,other,edible
gray,foul,silky,silky,other,other,other,other,grass,poisonous
brown,other,smooth,silky,white,white,evanescent,several,other,poisonous
other,foul,silky,silky,other,pink,other,several,grass,poisonous
brown,none,other,other,white,white,evanescent,other,grass,edible
brown,other,smooth,silky,white,pink,evanescent,several,other,poisonous
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
other,none,smooth,smooth,pink,other,pendant,several,wood,edible
gray,none,smooth,smooth,other,white,pendant,other,wood,edible
brown,foul,smooth,smooth,white,pink,evanescent,several,other,poisonous
other,foul,silky,silky,other,pink,other,several,grass,poisonous
other,other,smooth,silky,pink,pink,evanescent,several,other,poisonous
brown,foul,smooth,silky,pink,white,evanescent,several,wood,poisonous
gray,none,smooth,smooth,pink,other,pendant,several,wood,edible
gray,foul,silky,silky,pink,pink,other,several,other,poisonous
other,other,silky,smooth,pink,pink,evanescent,several,wood,poisonous
other,foul,silky,smooth,pink,pink,evanescent,several,wood,edible
brown,none,smooth,smooth,pink,other,pendant,other,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
brown,other,smooth,smooth,pink,white,evanescent,several,wood,poisonous
brown,other,smooth,smooth,white,white,evanescent,several,other,poisonous
other,none,other,smooth,white,white,evanescent,other,grass,edible
gray,foul,silky,silky,pink,pink,other,several,grass,poisonous
gray,none,silky,silky,white,white,pendant,other,grass,edible
gray,none,smooth,smooth,pink,other,pendant,several,wood,edible
other,other,smooth,smooth,white,white,pendant,several,wood,poisonous
brown,none,smooth,smooth,white,white,pendant,other,wood,edible
other,other,smooth,smooth,white,white,pendant,other,other,edible
other,none,other,other,white,white,evanescent,other,grass,edible
brown,none,other,other,white,white,evanescent,other,grass,edible
other,foul,silky,smooth,pink,white,evanescent,several,other,poisonous
